ID,Initial,MostCommonName,ScientificName,Type,Description,CommonName1,CommonName2,CommonName3,CommonName4,Leaves1,Leaves2,Leaves3,Leaves4,Bark1,Bark2,Bark3,Bark4,Flowers1,Flowers2,Flowers3,Flowers4,Fruits1,Fruits2,Fruits3,Fruits4,Link1,Link2,Location,Map
1,A,African Tulip Tree,Spathodea campanulata,Evergreen,"One of the world's most spectacular flowering trees. It is a robust tree, grows between 7 to 25 m (23 to 82 ft) tall and is native to tropical dry forests of Africa. It has a dense, dark, shining, green crown.The tree has a stout, tapering, somewhat buttressed trunk covered in warty light gray bark. The lateral branches are short and thick. This tree is planted extensively as an ornamental tree throughout the tropics.",Fountain Tree,Scarlet Bell Tree,Nandi Flame,Rugtoora,Large(Upto 50cm long) and pinnate,"Bronze when young and Glossy, deep green when mature",Leaflets are broadly oval ,Leaflets(Upto 15cm long) are deeply veined ,Pale grey-brown ,Smooth when young,Turns grey-black after ageing,,"Showy, reddish-orange in color",They are bell shaped ,Flower bud contains water and it is ampule shaped,Peak bloom is during spring,"Brown Large, elongated,",Slightly flattened pods,Turn from green to brown as they mature,Each pod contains about 500 tissue papery seeds,,,"Beside Convo hall, Inside H4, Near CSRE bulding, Near Campus hub",
2,A,Amaltas,Cassia fistula,Deciduous,"Cassia fistula, known as the golden rain tree or golden shower tree, is a flowering plant in the family Fabaceae. It is widely grown as an ornamental plant in tropical and subtropical area, blooms in late spring and flowering is extravagant, with trees being covered with yellow flowers, many times with almost no leaf is visible. It's flower is the state flower of Kerala and it is national tree of Thailand.",Bahava,Golden Shower Tree,Indian Laburnum,Purging Cassia,"Smooth, ovate shaped, and pinnate",They are15 to 60cm long,Three to eight pairs of leaflets,Each leaflet 7 to 21cm long and 4 to 9cm broad,"Grey, smooth to slightly ridged and slender, ",Young twigs sparsely to densely hairy.,Darker grey-brown when mature,,Bright yellow and fragrant ,Five yellow petals of equal size and shape,Flower is 4 to 7cm in diameter,They are produced in pendulous racemes which are 20 to 40 cm long,The fruit is a legume ,They are dark brown pods,30 to 60 cm long and 1.5 to 2.5cm broad,Contain dark brown flattish seeds (Around 100 in one pod),,,"Entrance of H15, Inside H12, Beside Jalvihar building(Eastside)",
3,A,Amla,Phyllanthus emblica,Deciduous,"Amla is small to medium size plant. It grows to the height of 8 to18 meter. It has a crooked trunk and spreading branches, and they are shown to possess properties that can combat age related diseases such as cancer, diabetis, cardiac ailments etc.The plant is commonly cultivated in the home garden, especially in India, for its edible fruit and as a medicinal plant.",Emblic Myrobalan,Myrobalan,Indian Gooseberry,Malacca Ulee,Feathery leaves,Closely set along branchlets,Light green,Resemble like pinnate leaves,"Somewhat smooth, scaly",Greyish brown in color,Its wood is hard in texture,,Greenish-yellow in color,Have six segments with no real petals,Male and female flowers are carried seperately,They are densely clustered in leaf axils,Nearly spherical with Smooth and hard apperance,Greenish yellow in color,"Taste is sour, bitter and astringent, and is quite fibrous ",Six vertical stripes or furrows are present on them,,,,
4,A,Anjeer,Ficus carica,Deciduous,"Originally from persian region. Ficus carica is a beautiful small species of  flowering plant in the mulberry family, known as the common fig (or just the fig). It grows wild in dry and sunny areas, with deep and fresh soil, it also grows in rocky areas. Anjeer is widely grown for its edible fruit throughout its natural range Iran and also in the rest of the Mediterranean region and other areas of the world. ",Common Fig,Fig,Anjeer,Anjir,Papaya like leaves,Deeply lobed with 3 or 5 lobes,12 to 25cm long and 10 to 18cm wide,They are fragrant,"Smooth, flexible",Silvery grey in color,Latex has antibacterial properties,,Unisexual flowers,Not visible from outside,Bloom inside the ensemble of fruits,Pollinated by specialized fig wasp,Flowers and seed sare borne inside fruit,Yellowish-green to coppery-bronze in color,Eaten either fresh or dry,"Rich in iron, potassium, calcium and fiber",,,Inside Kshitij garden,
5,A,Apta,Bauhinia racemosa,Deciduous,"Apta commonly known as Bidi Leaf Tree, is a small crooked tree with drooping branches, growing up to 3-5 m tall. Flowering takes place in February to May. In Maharashtrian families it is customary to exchange leaves of the Aapta tree on the Hindu festive day of Dussehra. An act known as exchanging Gold, pointing to the special significance of the plant on that particular day. This is also why the tree is often referred to as Sonpatta.",Bidi Leaf Tree,Apta,Kathmuli,Jhinjheri,Bilobed and alternate leaves,Swollen at base and at tip,Shaped liked cow's hooves,They are used for making bidis,Rough and thinly scaly,Contains rectangular flakes,Brownish grey,,Greenish-white in color,They are bisexual,They are Small in size,Borne in 5 to 10cm long recemes,"Curved, swollen, rigid pods",Pods are13 to 25cm long and 1.8 to 2.5cm wide ,Each pod contains around 12 to 20 seeds,"Seeds are compressed, reddish brown or black",,,"Inside Kshitij garden, Lakeside road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1Hot5cX4SVcj6lY3uvkMOpwOGocutAJi-"" width=""640"" height=""480""></iframe>"
6,A,Asan,Bridelia retusa,Deciduous,"It is a large shrub or tree growing upto 10 to 20 metres.This is the most common Indian species of Bridelia(Bridelia is a plant genus of the family Phyllanthaceae), mostly found in dry deciduous to moist deciduous forests, riverbanks, and rocky places. Found throughout the country excluding Andaman and Nicobar Islands and in Bangladesh, Nepal, Sumatra, Thialand, China, Shri-Lanka.",Spinous Kino Tree,Asan,Asana,Kaji,Rigid leathrey leaves,Base is rounded and tip is pointed,10 to 20cm long and 4 to 10cm wide,Each leaf contain15 to 20 parallel lateral nerves ,Strong spines are present on young stems,Greyish brown in color,Branchlets are thinly hairy,,Greenish-yellow in color,They are unisexual,Small and sessile,Are crowded in dense axillary or terminal,Purple-black in color,Size is about the size of pea,Sweet and fleshy,Contains 1 to 2 thick shelled seeds,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/ieRc3_VpPrU?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=ieRc3_VpPrU&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=36,"Near H5, H7, and H3","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=18OH-0jRXs4kygE9iqlr8704r7AQo6Dah"" width=""640"" height=""480""></iframe>"
7,A,Ashoka,Saraca asoca,Evergreen,"Ashoka is one of the most legendary and sacred trees of India. It is a rain-forest tree, native of Asia and South America. Its original distribution was in the central areas of the Deccan Plateau, as well as the middle section of the Western Ghats of Indian subcontinent. It is prized for its beautiful foliage and fragrant flowers. As a wild tree, the ashoka is a vulnerable species. It is becoming rarer in its natural habitat.",Ashoka,Sita Ashoka,Sorrowless Tree,Jasundi,"Young leaves are soft, red and limp",Deep green in color when mature,Leaves grow in dense clusters,"Compound, alternate and paripinnate",Bark on old stems is dark green ,It is often marked by bluish and ash white patches of lichens,"Bark is rich in tannins, flavonoids, steroids",,Bright orange-yellow and fragrant ,Turn red before wilting,"Come in haevy, lush bunches",Blooms around February to April,Smooth and leathery pods,Pods are flat in shape,Each pod contains around 6 to 8 seeds,Seeds are ellipsoid and compressed,,,"Near Gulmohar cafetaria, Inside H5",
8,A,Asopalav,Polyalthia longifolia,Evergreen,"This tree is very popular in India. Ashok is commonly seen as a lofty column, very graceful with its downward-sweeping branchlets and shining, green foliage. Grows upto 25 to 30 feet. It is native to India and Shri-Lanka.The leaves are used for ornamental decoration during festivals. commonly planted due to its effectiveness in alleviating noise pollution.The tree is a main attraction in gardens throughout India.",False Ashoka,Indian Mast Tree,Buddha Tree,Ashok,Fresh leaves are coppery brown ,Fresh leaves are soft and delicate,Turn to light green and finally a dark green,Shaped like a lance and have wavy edges,"Smooth, hard trunk",Dark greyish-brown in color,Young branches are covered with long soft hairs,,Pale green in color,Delicate and star shaped,Grow in clusters from small protuberances,Tree blossoms in spring,Fruit is born in clusters of 10 to 20,"Shape is ovoid, rounded at both ends",Fruits are initially green,Fruits turn to purple/black when ripe,,,"Inside most of the hostels, Beside Civil Dept. building","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1BISlJhMPprTjFOEd7vbuu9EBU_8fwfYd"" width=""640"" height=""480""></iframe>"
9,A,Australian Babul,Acacia auriculiformis,Evergreen,"This is a fast-growing, crooked, gnarly tree in the family Fabaceae. Can grow upto a height of 15 to 30m. This plant is native to southeast Asia, Indonesia, Papua New Guinia and Australia. Used for the cultivation of the lac insect in India.This plant is raised as an ornamental plant, as a shade tree and it is also raised on plantations for fuelwood throughout southeast Asia, Oceania and in Sudan. ",Earleaf Acacia,Earpod Wattle,Australian Wattle,Auri ,Alternate simple leaves,"Thick, leathery and curved","10 to16cm long,1.5 to 2.5cm wide",Each leaf has 3 to 8 nerves.,Trunk is crooked,Bark is vertically fissured,Wood good for paper,,Creamy yellow in color,Sweet scented and appear in pairs,"Held in loose, yellow-orange spikes in the leaf axils",Mimosa like with many free stamens,"Flat, oblong pods",Tranversely veined with undulate margins,Pods get twisted as they mature,Seeds are broadly ovate to elliptical,,,"Outside swimming pool, Beside NSS nursery",
10,B,Badam,Terminalia catappa,Deciduous,"This is a large tropical tree in the leadwood tree family Combretaceae, that grows mainly in the tropical regions of Asia, Africa, and Australia, reaches upto a height of 35m. The tree has a distinctive shape, its horizontal branches growing in wide spreading circles at different levels on the trunk. As the tree gets older, its crown becomes more flattened to form a spreading, vase shape. It is highly ornamental tree, much planted in avenues and gardens grown for its deep shade.",Indian Almond,Malbar Almond,Sea Almond,Tropical Almond,"Large, leathery and glossy","Ovoid,15 to 25cm long,10 to 14cm broad",Deep green in color when mature,Before falling turn pinkish-reddish or yellow-brown,Gets rough with age,Greyish brown in color,Bark is slightly fissured,,"Fragrant, Greenish white",Distinct male and female flowers ,Inconspicuous with no petals,Produced on axillary or terminal spikes,"Hard, rounded and egg shaped","Green when unripe, yellow/red when ripe",Seed within the fruit is edible when fully ripe,Seeds tastes almost like almond,,,"Inside H9, SAC parking lot","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1xIXTP4zqoFE7WHYcNuCOp5Jq3Bvn3tUO"" width=""640"" height=""480""></iframe>"
11,B,Bakul,Mimusops elengi,Evergreen,"This is a medium-sized lovely tree found in tropical forests in South Asia, Southeast Asia and northern Australia. Ornamentally prized for its dense shade and during the months from March to July fills the night air with the delicious heady aroma of its tiny cream colored flowers. People love to collect them as they retain their odor for many days after they fall.The wood is a luxurious wood that is extremely hard, strong and tough.",Spanish cherry,Bullet Wood,Indian Medlar,Maulsari,"Small, glossy and dark green","Oval, thick and pointed","5 to14 cm long, and 2.5 to 6 cm wide",Wavy at margin,"Thick, scaly and rough",Greyish brown in color,Fissured longitudinally,,"Fragrant,yellowish white ",They are bisexual,"Small, hairy and star shaped",Offered in temples and shrines,"Edible, hairy, smooth, fleshy","Yellow when unripe, bright red-orange when ripe",1 seed per fruit,Oblong ellipsoid seed,"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Dg7Dn68zrP8"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Dg7Dn68zrP8&index=38&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Beside Convo hall,N2 bay and hospital","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=18Q6NqRt79UHm0zo4KnIwQ6uXqTIEXU_i"" width=""640"" height=""480""></iframe>"
12,B,Banana,Musa paradisiaca,Evergreen,"The banana plant is the largest herbaceous flowering plant, belongs to the family Musaceae. One of the most-important fruit crops of the world. The banana is grown in the tropics, and, though it is most widely consumed in those regions, it is valued worldwide for its flavour, nutritional value, and availability throughout the year. The fruit is variable in size, color, and firmness, which may be green, yellow, red, purple, or brown when ripe.",Kela ,Vazhaikkai,Arati Pandu,Platano,"Large, flexible and waterproof",Oblong to elliptic in shape,"3 to 3.5m in length, 60 to 70cm wide","Often used as ""Plates""",False trunk is present,Trunk is 3 to 6m high,Composed of the basal portions of leaf sheaths,,Large flower spike is present,Spike emerges from top of trunk,Spike has yellowish flowers,Protected by lagre purple-bracts,"Described as ""leathery berry""",Grouped in clusters of 10 to 20,Usually elongated and curved,Soft flesh rich in starch,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/PRmi5vrWJz4?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=PRmi5vrWJz4&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=39,Inside NSS nursery,
